"","dia","pais","ordem","proximidade"
"1","24/02/2023","Turkey",6,"Frio"
"2","24/02/2023","Ecuador",5,"Morno"
"3","24/02/2023","Venezuela",4,"Quente"
"4","24/02/2023","United States of America",4,"Quente"
"5","24/02/2023","Cuba",4,"Quente"
"6","24/02/2023","Guatemala",2,"Adjacente"
"7","24/02/2023","Mexico",2,"Adjacente"
"8","24/02/2023","Belize",1,"Target"
"9","26/02/2023","Egypt",6,"Frio"
"10","26/02/2023","Georgia",6,"Frio"
"11","26/02/2023","Morocco",6,"Frio"
"12","26/02/2023","Finland",6,"Frio"
"13","26/02/2023","Malta",6,"Frio"
"14","26/02/2023","Estonia",6,"Frio"
"15","26/02/2023","Norway",6,"Frio"
"16","26/02/2023","Monaco",6,"Frio"
"17","26/02/2023","Luxembourg",6,"Frio"
"18","26/02/2023","France",6,"Frio"
"19","26/02/2023","Croatia",6,"Frio"
"20","26/02/2023","Germany",6,"Frio"
"21","26/02/2023","Italy",6,"Frio"
"22","26/02/2023","Switzerland",6,"Frio"
"23","26/02/2023","Austria",1,"Target"
"24","28/02/2023","Guatemala",6,"Frio"
"25","28/02/2023","Haiti",6,"Frio"
"26","28/02/2023","Guyana",1,"Target"
"27","15/03/2023","Burundi",3,"Frio"
"28","15/03/2023","Burkina Faso",1,"Target"
