"","dia","pais","distancia","direcao"
"1","17/02/2023","Vietnam",9935,"West"
"2","17/02/2023","Republic of the Congo",3854,"North"
"3","17/02/2023","Finland",3326,"South"
"4","17/02/2023","Egypt",2184,"West"
"5","17/02/2023","Morocco",1571,"East"
"6","17/02/2023","Tunisia",0,"Target"
"7","24/02/2023","Turkey",10581,"West"
"8","24/02/2023","Algeria",7549,"West"
"9","24/02/2023","Colombia",879,"East"
"10","24/02/2023","Venezuela",0,"Target"
"11","26/02/2023","Congo",2641,"South"
"12","26/02/2023","Namibia",640,"East"
"13","26/02/2023","Eswatini",831,"Northwest"
"14","26/02/2023","Democratic Republic of the Congo",2060,"South"
"15","26/02/2023","Botswana",0,"Target"
